lat,lon,at_risk_kwh,total_kwh,fraction,top_gear
65.5,-1.5,7526732,11570806,0.6505,trawlers
-5.5,-19.5,7520367,7534094,0.9982,drifting_longlines
-1.5,162.5,7355733,7973493,0.9225,drifting_longlines
-3.5,-163.5,7265729,8007546,0.9074,drifting_longlines
-5.5,-17.5,7208223,7268551,0.9917,drifting_longlines
12.5,-175.5,7175271,7693813,0.9326,drifting_longlines
66.5,-1.5,7162282,11890245,0.6024,trawlers
-15.5,-81.5,7092313,7964880,0.8904,squid_jigger
4.5,140.5,7076631,9657763,0.7327,drifting_longlines
-11.5,56.5,6886590,7679638,0.8967,drifting_longlines
12.5,176.5,6872320,7805984,0.8804,drifting_longlines
-5.5,-135.5,6841813,7670875,0.8919,drifting_longlines
54.5,-15.5,6818626,16652919,0.4095,trawlers
68.5,2.5,6802431,11778095,0.5775,trawlers
64.5,-0.5,6783079,17569828,0.3861,trawlers
12.5,174.5,6527461,7790270,0.8379,drifting_longlines
-5.5,158.5,6526456,8223157,0.7937,drifting_longlines
2.5,-151.5,6502706,6994350,0.9297,drifting_longlines
-3.5,-111.5,6496008,7114089,0.9131,squid_jigger
3.5,144.5,6475754,7931977,0.8164,drifting_longlines
4.5,64.5,6468264,6476634,0.9987,drifting_longlines
2.5,-111.5,6466577,7040612,0.9185,squid_jigger
0.5,-109.5,6430377,6973382,0.9221,squid_jigger
-1.5,-104.5,6284859,6588173,0.954,squid_jigger
12.5,-177.5,6251416,7115012,0.8786,drifting_longlines
-35.5,32.5,6170452,6292698,0.9806,drifting_longlines
2.5,150.5,6149540,6670560,0.9219,drifting_longlines
-11.5,58.5,6108358,7594095,0.8044,drifting_longlines
61.5,-7.5,6013927,28632016,0.21,trawlers
-3.5,-179.5,5978361,6474769,0.9233,drifting_longlines
-7.5,160.5,5959546,7552481,0.7891,drifting_longlines
42.5,160.5,5952762,7358873,0.8089,squid_jigger
72.5,4.5,5951206,17174098,0.3465,trawlers
68.5,0.5,5947253,9315290,0.6384,trawlers
12.5,178.5,5925186,7224611,0.8201,drifting_longlines
-15.5,172.5,5849364,10753278,0.544,drifting_longlines
2.5,147.5,5835597,5990963,0.9741,drifting_longlines
